PL_NAME,SPEC_TYPE,BIBCODE,AUTHORS,AUTHORS_UNACCENTED,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE,SPEC_ID,SPEC_PATH,ROW_IDX,ROW_NUM
GJ 1214 b,Transmission,2023arXiv230506240K,Kempton et al. 2023,Kempton et al. 2023,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.2817,11.747,,,,3.10969_5145_2,10/30/25/01/GJ_1214_b_3.10969_5145_2.tbl,47,47
GJ 1214 b,Transmission,2023ApJS..269...31E,Edwards et al. 2023,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,G141,3.10969_5286_41,54/40/61/54/GJ_1214_b_3.10969_5286_41.tbl,48,48
GJ 436 b,Emission,2007ApJ...667L.199D,Deming et al. 2007,Deming et al. 2007,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,8,8,,,Table 1,3.10974_399_1,12/80/16/47/GJ_436_b_3.10974_399_1.tbl,49,49
GJ 436 b,Emission,2010Natur.464.1161S,Stevenson et al. 2010,Stevenson et al. 2010,5,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24,,,Table 1,3.10974_4090_1,32/89/47/63/GJ_436_b_3.10974_4090_1.tbl,50,50
GJ 436 b,Transmission,2014Natur.505...66K,Knutson et al. 2014,Knutson et al. 2014,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.136,1.645,2456226.691,2456226.691,,3.10974_3422_1,22/30/43/84/GJ_436_b_3.10974_3422_1.tbl,51,51
GJ 436 b,Transmission,2011ApJ...735...27K,Knutson et al. 2011,Knutson et al. 2011,8,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8,2454280.782,2454865.083,,3.10974_3635_1,92/26/54/03/GJ_436_b_3.10974_3635_1.tbl,52,52
HAT-P-12 b,Emission,2020AJ....159..234W,Wong et al. 2020,Wong et al. 2020,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Simultaneous fit of all four eclipses.,3.10993_5314_5,74/23/92/87/HAT_P_12_b_3.10993_5314_5.tbl,53,53
HAT-P-12 b,Transmission,2013ApJ...778..183L,Line et al. 2013,Line et al. 2013,23,Wide Field Camera 3,Hubble Space Telescope satellite,1.108,1.627,,,,3.10993_3415_1,62/22/42/73/HAT_P_12_b_3.10993_3415_1.tbl,54,54
HAT-P-12 b,Transmission,2015A&A...583A.138M,Mallonn et al. 2015,Mallonn et al. 2015,1,AFOSC,Asiago Observatory's Copernico Telescope,0.6476,0.6476,,,,3.10993_3675_4,39/56/47/84/HAT_P_12_b_3.10993_3675_4.tbl,55,55
HAT-P-12 b,Transmission,2015A&A...583A.138M,Mallonn et al. 2015,Mallonn et al. 2015,1,Keplercam,Fred Lawrence Whipple Observatory's 1.2 meter Telescope,0.9222,0.9222,,,,3.10993_3675_3,45/19/82/82/HAT_P_12_b_3.10993_3675_3.tbl,56,56
HAT-P-12 b,Transmission,2015A&A...583A.138M,Mallonn et al. 2015,Mallonn et al. 2015,2,Multiple Instruments,Multiple Observatories,0.4754,0.6204,,,,3.10993_3675_2,29/51/81/37/HAT_P_12_b_3.10993_3675_2.tbl,57,57
